code,type,libelle,bloc,famille,source,cas_limite,note
EXG,individuelle,Extrême gauche,EXG,Extrême gauche,circulaire 2026,non,
FI,individuelle,La France insoumise,EXG,Extrême gauche,circulaire 2026,oui,Bloc EXG selon la circulaire de février 2026 ; famille décidée le 24/09/2026
COM,individuelle,Parti communiste français,GAU,Gauche,circulaire 2026,non,
SOC,individuelle,Parti socialiste,GAU,Gauche,circulaire 2026,non,
GEN,individuelle,Génération.s,GAU,Gauche,circulaire 2026,non,
PLP,individuelle,Place Publique,GAU,Gauche,circulaire 2026,non,
RDG,individuelle,Parti radical de gauche,GAU,Gauche,circulaire 2026,non,
VEC,individuelle,Les Écologistes,GAU,Écologistes,circulaire 2026,non,
DVG,individuelle,Divers gauche,GAU,Gauche,circulaire 2026,non,
ECO,individuelle,Écologiste,DIV,Écologistes,circulaire 2026,oui,Bloc divers selon la circulaire ; famille écologistes
REG,individuelle,Régionalistes,DIV,Régionalistes,circulaire 2026,oui,Bloc divers selon la circulaire ; famille régionalistes
ANM,individuelle,Animaliste,DIV,Divers,circulaire 2026,non,
DIV,individuelle,Divers,DIV,Divers,circulaire 2026,non,
REN,individuelle,Renaissance,CENT,Centre,circulaire 2026,non,
MDM,individuelle,Modem,CENT,Centre,circulaire 2026,non,
HOR,individuelle,Horizons,CENT,Centre,circulaire 2026,non,
PR,individuelle,Parti radical,CENT,Centre,circulaire 2026,non,
DVC,individuelle,Divers centre,CENT,Centre,circulaire 2026,non,
UDI,individuelle,Union des démocrates et indépendants,CENT,Centre,circulaire 2026,non,
LR,individuelle,Les Républicains,DTE,Droite,circulaire 2026,non,
DVD,individuelle,Divers droite,DTE,Droite,circulaire 2026,non,
DSV,individuelle,Droite souverainiste,DTE,Droite,circulaire 2026,non,
UDR,individuelle,Union des droites pour la République,EXD,Extrême droite,circulaire 2026,non,
RN,individuelle,Rassemblement national,EXD,Extrême droite,circulaire 2026,non,
REC,individuelle,Reconquête,EXD,Extrême droite,circulaire 2026,non,
EXD,individuelle,Extrême droite,EXD,Extrême droite,circulaire 2026,non,
LEXG,liste,Extrême gauche,EXG,Extrême gauche,circulaire 2026,non,
LFI,liste,La France insoumise,EXG,Extrême gauche,circulaire 2026,oui,Bloc EXG selon la circulaire de février 2026 ; famille décidée le 24/09/2026
LCOM,liste,Parti communiste français,GAU,Gauche,circulaire 2026,non,
LSOC,liste,Parti socialiste,GAU,Gauche,circulaire 2026,non,
LVEC,liste,Les Écologistes,GAU,Écologistes,circulaire 2026,non,
LUG,liste,Union de la gauche,GAU,Gauche,circulaire 2026,non,
LDVG,liste,Divers gauche,GAU,Gauche,circulaire 2026,non,
LECO,liste,Écologiste,DIV,Écologistes,circulaire 2026,oui,Bloc divers selon la circulaire ; famille écologistes
LREG,liste,Régionalistes,DIV,Régionalistes,circulaire 2026,oui,Bloc divers selon la circulaire ; famille régionalistes
LDIV,liste,Divers,DIV,Divers,circulaire 2026,non,
LREN,liste,Renaissance,CENT,Centre,circulaire 2026,non,
LMDM,liste,Modem,CENT,Centre,circulaire 2026,non,
LHOR,liste,Horizons,CENT,Centre,circulaire 2026,non,
LUDI,liste,Union des démocrates et indépendants,CENT,Centre,circulaire 2026,non,
LUC,liste,Union du centre,CENT,Centre,circulaire 2026,non,
LDVC,liste,Divers centre,CENT,Centre,circulaire 2026,non,
LLR,liste,Les Républicains,DTE,Droite,circulaire 2026,non,
LUD,liste,Union de la droite,DTE,Droite,circulaire 2026,non,
LDVD,liste,Divers droite,DTE,Droite,circulaire 2026,non,
LDSV,liste,Droite souverainiste,DTE,Droite,circulaire 2026,non,
LUDR,liste,Union des droites pour la République,EXD,Extrême droite,circulaire 2026,non,
LRN,liste,Rassemblement national,EXD,Extrême droite,circulaire 2026,non,
LREC,liste,Reconquête,EXD,Extrême droite,circulaire 2026,non,
LUXD,liste,Union de l'extrême droite,EXD,Extrême droite,circulaire 2026,non,
LEXD,liste,Extrême droite,EXD,Extrême droite,circulaire 2026,non,
UG,individuelle,Union de la gauche (2024),GAU,Gauche,analogie LUG,oui,Nuance antérieure à la grille 2026 : rattachée à l'union de la gauche (LUG)
NUP,individuelle,Nouvelle union populaire écologique et sociale (2022),GAU,Gauche,analogie LUG,oui,Nuance antérieure à la grille 2026 : rattachée à l'union de la gauche (LUG)
ENS,individuelle,Ensemble (2022-2024),CENT,Centre,analogie LUC,oui,Nuance antérieure à la grille 2026 : rattachée à l'union du centre (LUC)
LENS,liste,Ensemble (2024),CENT,Centre,analogie LUC,oui,Nuance antérieure à la grille 2026 : rattachée à l'union du centre (LUC)
UXD,individuelle,Union de l'extrême droite (2024),EXD,Extrême droite,analogie LUXD,oui,Nuance antérieure à la grille 2026 : rattachée à l'union de l'extrême droite (LUXD)
NC,individuelle,Sans nuance attribuée,NC,Non classé,règle du projet,non,Candidature ou liste à laquelle le ministère n'a attribué aucune nuance
MELE,candidat,"Jean-Luc Mélenchon (présidentielle 2012, Front de gauche)",EXG,Extrême gauche,analogie FI,oui,"Nuance antérieure à la grille 2026 (2012…) : Décidé le 24/09 (Front de gauche selon le parti) : comme La France insoumise, qu'il a fondée ensuite"
BESA,candidat,"Olivier Besancenot (présidentielles 2002, 2007)",EXG,Extrême gauche,analogie EXG,non,Nuance antérieure à la grille 2026 (2002…) : Ligue communiste révolutionnaire
LAGU,candidat,"Arlette Laguiller (présidentielles 2002, 2007)",EXG,Extrême gauche,analogie EXG,non,Nuance antérieure à la grille 2026 (2002…) : Lutte ouvrière
LXG,liste,Liste d'extrême gauche,EXG,Extrême gauche,analogie LEXG,non,Nuance antérieure à la grille 2026 (2004…) : Extrême gauche
POUT,candidat,Philippe Poutou (présidentielle 2012),EXG,Extrême gauche,analogie EXG,non,Nuance antérieure à la grille 2026 (2012…) : Nouveau Parti anticapitaliste
LCR,individuelle,Ligue communiste révolutionnaire,EXG,Extrême gauche,analogie EXG,non,Nuance antérieure à la grille 2026 (2002…) : Extrême gauche
LO,individuelle,Lutte ouvrière,EXG,Extrême gauche,analogie EXG,non,Nuance antérieure à la grille 2026 (2002…) : Extrême gauche
DXG,individuelle,Divers extrême gauche,EXG,Extrême gauche,analogie EXG,non,Nuance antérieure à la grille 2026 (2022…) : Extrême gauche
ARTH,candidat,Nathalie Arthaud (présidentielle 2012),EXG,Extrême gauche,analogie EXG,non,Nuance antérieure à la grille 2026 (2012…) : Lutte ouvrière
GLUC,candidat,Daniel Gluckstein (présidentielle 2002),EXG,Extrême gauche,analogie EXG,non,Nuance antérieure à la grille 2026 (2002…) : Parti des travailleurs
SCHI,candidat,Gérard Schivardi (présidentielle 2007),EXG,Extrême gauche,analogie EXG,non,Nuance antérieure à la grille 2026 (2007…) : Parti des travailleurs
BC-FI,binôme,Binôme La France insoumise,EXG,Extrême gauche,analogie FI,oui,Nuance antérieure à la grille 2026 (2021…) : Comme La France insoumise (bloc extrême gauche selon la circulaire 2026)
PG,individuelle,Parti de Gauche,EXG,Extrême gauche,analogie FI,oui,Nuance antérieure à la grille 2026 (2011…) : Décidé le 24/09 (Front de gauche selon le parti) : prédécesseur de La France insoumise
LPG,liste,Liste du Parti de Gauche,EXG,Extrême gauche,analogie LFI,oui,Nuance antérieure à la grille 2026 (2014…) : Décidé le 24/09 (Front de gauche selon le parti) : prédécesseur de La France insoumise
BC-EXG,binôme,Binôme d'extrême gauche,EXG,Extrême gauche,analogie EXG,non,Nuance antérieure à la grille 2026 (2015…) : Binôme : même classement que la nuance individuelle
BC-PG,binôme,Binôme Parti de gauche,EXG,Extrême gauche,analogie FI,oui,Nuance antérieure à la grille 2026 (2015…) : Décidé le 24/09 (Front de gauche selon le parti) : prédécesseur de La France insoumise
HOLL,candidat,François Hollande (présidentielle 2012),GAU,Gauche,analogie SOC,non,Nuance antérieure à la grille 2026 (2012…) : Parti socialiste
ROYA,candidat,Ségolène Royal (présidentielle 2007),GAU,Gauche,analogie SOC,non,Nuance antérieure à la grille 2026 (2007…) : Parti socialiste
LGA,liste,Liste d'union de la gauche (2004),GAU,Gauche,analogie LUG,non,Nuance antérieure à la grille 2026 (2004…) : Union de la gauche
BC-SOC,binôme,Binôme Parti socialiste,GAU,Gauche,analogie SOC,non,Nuance antérieure à la grille 2026 (2015…) : Parti socialiste
BC-UG,binôme,Binôme union de la gauche,GAU,Gauche,analogie LUG,non,Nuance antérieure à la grille 2026 (2015…) : Union de la gauche
LPS,liste,Liste du Parti socialiste (2004),GAU,Gauche,analogie LSOC,non,Nuance antérieure à la grille 2026 (2004…) : Parti socialiste
LUGE,liste,Liste d'union à gauche avec des écologiste,GAU,Gauche,analogie LUG,non,Nuance antérieure à la grille 2026 (2021…) : Union de la gauche
JOSP,candidat,Lionel Jospin (présidentielle 2002),GAU,Gauche,analogie SOC,non,Nuance antérieure à la grille 2026 (2002…) : Parti socialiste
BC-DVG,binôme,Binôme divers gauche,GAU,Gauche,analogie DVG,non,Nuance antérieure à la grille 2026 (2015…) : Divers gauche
GAU,liste,Liste PS-PRG-MDC « Bâtir notre Europe » (européennes 1999),GAU,Gauche,analogie LUG,non,Nuance antérieure à la grille 2026 (1999…) : Union de la gauche
BC-UGE,binôme,Binôme union de la gauche et des écologistes,GAU,Gauche,analogie LUG,non,Nuance antérieure à la grille 2026 (2021…) : Union de la gauche
LFG,liste,Liste Front de Gauche,GAU,Gauche,analogie LUG,oui,Nuance antérieure à la grille 2026 (2014…) : Décidé le 24/09 (Front de gauche selon le parti) : union du PCF et du PG
